# 0.0323054 83
 9.08982  10.3433  10.7864  11.1641  11.3345  11.7577  11.6526  10.9326  10.3144  10.0801  10.1888  10.1863  10.6663  11.4912  11.9511  12.3989  11.7458  11.2976  10.9576   10.639  10.1709  10.1615  10.5574  11.4313  11.9479   12.004  11.5402  11.0554  10.4416  10.1469   9.4927  10.0377  10.5808  10.7935  11.6812  12.2718  11.9969  11.4403  10.4638  10.1318  9.43073
 9.45594  10.5206   10.664   11.721  12.3949  12.1828  11.7297  11.6159  10.9915   10.591  10.1509   10.321  11.0601  11.6005  12.2877  12.2945  12.0677  11.7014  11.1321  10.7127  10.3087  10.7527  10.9627  11.7587  11.9281   12.304  11.6566   11.409  10.8593  10.6532  10.1151  10.5426  11.2936  11.6583  12.2291  12.3556  12.2725    11.63  11.1568  10.5079  9.38203
 9.43485  10.0959  10.5781  11.1478  11.9416  11.9878  11.7291  11.1974   10.515  10.4446  9.96873  10.3245   10.952  11.2549  11.9185  12.0687  11.9223  11.4463  10.8116  10.2834  10.0047  10.2733  10.5809  11.2718  11.8175  11.6386  11.7254  11.2117  10.9001  10.3122  9.95891   10.442  10.7124  11.2819  11.6403  12.1075  11.8123  11.2723  10.7371  10.1932  9.28499
 9.27696  10.3676  10.7393  11.4713  11.7783  11.9616  11.7109   11.159  10.7614  10.3303  10.3149  10.0961  10.8144  11.4845  11.8874  12.3091  11.7763  11.2824  10.8522  10.3659  9.89904  10.3039  10.6627  11.1016   11.405  11.9614  11.7895  11.1534  10.5649  10.2472  10.0321  10.2318  10.3494  11.4095  11.6971  12.0989  11.8066  11.1957  10.6923  10.0137  9.18664
 9.90095  10.3371  11.2175  11.5915   12.364  12.4145  12.0425  11.5697  10.9753  10.8819  10.4883  10.7043  11.3036  11.5334  12.4309  12.5354  12.0907  11.8672  11.0184  10.6328  10.2217    10.56  11.3216  11.6944  12.1786  12.2356  11.9115  11.5435  11.0444  10.6983  10.5219  10.6156  11.0127  11.7453  12.1681  12.1858  12.1219  11.7332  11.3201  10.6542  9.66125
  10.246  11.1064  11.3191  12.5444  12.6488   12.948  12.8211  12.0807  11.8327  11.2536  10.8974  11.4119  11.6499  12.6247  13.0221  13.2652  12.9785  12.5551  11.5663  11.1521  10.9949  11.2326  11.6536  12.2551  12.8138  12.5625  12.5903  12.0671  11.5336  11.0116  11.0614  11.4216  11.8171  12.2184  12.6004  12.9742  12.6817  12.1154  11.8004  11.1225  10.1377
 10.7834  11.4756  12.0004  12.7298  13.4975  13.3613  13.1653  12.6117  12.3814  11.7969  11.6731  11.5194  12.3618   12.993  13.2244  13.4257  13.5393  12.8969  12.3784  11.7057  11.5554  11.7021  12.4932   12.748  13.2762  13.0447  13.0853   12.444  12.2659  11.7293  11.6054  11.5047  12.2402  12.7482  13.4761  13.3725  13.3187  12.8424  12.3385   11.883  10.7302
 11.1914  11.9085  12.4684  13.0449  13.6021  13.7308  13.6185  12.9311   12.579  12.0009  11.6824   12.174  12.6736  13.1865  13.9225  14.1612  13.4124  13.5143  12.5663  12.2257  11.8807   11.947  12.6209  13.0696  13.5947  13.7703  13.5939  12.8417  12.5938    12.15   11.965  12.0909  12.7228  13.2796  13.4696  14.0238  13.5675  12.9703  12.3988  12.2343   11.199
 10.1348  10.9015  12.2884  13.6271  14.1188  14.6039  14.2732  13.3934  12.2716  11.1989  10.8009  11.5111  12.3281  13.4446  14.2614  14.5306   14.482  13.4068  11.9883  11.5562  10.8096  11.1592   12.092  13.4546  14.2105  14.5071  14.3612  13.2366  12.3139  11.2386  10.9447  11.1259  12.2434  13.4395  14.3925  14.9621  14.5577  13.5696  11.9329  10.8633  9.77697
 9.55425  10.5872  11.4248  12.7073  13.6319  13.7483  13.7254  12.7507  11.7848  10.6573  10.2521  10.7471  11.6212  12.9987  13.7856  14.0134  13.6518  13.2016  11.6017  10.6848  10.2956  10.4527  11.7137  12.9725   13.763  13.7874  13.8016  12.8353  11.8574  10.8085  10.4876  10.6245  11.6612  12.7012   13.743  14.2555  13.8776  12.8154  11.6511  10.4544    8.774
