0.7 0.003326013505
0.8 0.005092958179
0.9 0.01810829575
1 0.02566850922
1.1 0.03535607331
1.2 0.04555368149
1.3 0.0735314672
1.4 0.08793148203
1.5 0.1242229088
1.6 0.1352817016
1.7 0.1779187051
1.8 0.2120179627
1.9 0.2347557454
2 0.2687044735
2.1 0.298509712
2.2 0.3316736401
2.3 0.382020001
2.4 0.4217252314
2.5 0.4677372792
2.6 0.5196022776
2.7 0.5581155597
2.8 0.6106352919
2.9 0.6493794191
3 0.6861233259
3.1 0.7256696957
3.2 0.7749254179
3.3 0.8179786569
3.4 0.8496957493
3.5 0.9067710618
3.6 0.9239632153
3.7 0.9825800688
3.8 1.017011549
3.9 1.056013661
4 1.08085305
4.1 1.028335213
4.2 0.9922837929
4.3 0.9396163535
4.4 0.891246636
4.5 0.8420558726
4.6 0.7841807743
4.7 0.7399890707
4.8 0.6850028751
4.9 0.632875886
5 0.5700364743
5.1 0.505481484
5.2 0.4564676777
5.3 0.3921052003
5.4 0.3393209585
5.5 0.2767606074
5.6 0.2201275266
5.7 0.1750886601
5.8 0.1332647297
5.9 0.1067341238
6 0.08070641061
6.1 0.06192029777
6.2 0.04664746919
6.3 0.03348597547
6.4 0.02288847025
6.5 0.01506310187
6.6 0.009372165464
6.7 0.003430854429
6.8 0.001083795599
6.9 0.0001026935487
