57 57 68 53 36 50 49 70 42 45 57 61 53 57 54 54 51 37 57 60 54 63 51 57 55 53 53 57 52 47 37 38 50 40 49 51 51 57 48 54 53
44 51 33 51 57 54 44 43 59 54 52 40 56 44 53 54 51 60 60 67 57 64 53 60 40 56 34 44 39 49 40 50 56 49 58 51 53 54 62 55 48
56 51 50 41 57 58 50 53 51 59 55 62 59 61 63 47 57 62 53 59 58 61 54 58 51 45 54 42 57 52 45 55 54 48 45 54 61 46 60 53 64
57 54 57 54 59 51 49 53 50 67 55 53 59 50 49 65 46 52 56 54 53 61 55 48 45 45 49 47 50 48 47 51 53 50 57 57 50 57 59 47 52
65 48 61 50 61 59 50 58 67 58 55 52 58 55 59 56 47 51 52 58 46 64 63 56 57 51 50 45 47 51 49 52 54 51 55 48 54 52 50 56 64
68 55 55 57 57 50 57 43 52 48 58 58 44 59 54 57 50 56 44 48 53 62 53 47 61 47 54 39 44 37 49 62 57 56 50 59 53 54 48 49 40
63 53 47 57 60 56 47 49 53 49 51 48 53 54 46 46 55 48 57 46 49 38 62 45 43 51 43 46 47 43 59 41 50 54 72 47 56 47 56 56 48
61 53 58 47 45 53 52 44 53 46 46 46 47 41 49 49 43 60 57 54 52 52 47 50 56 57 50 44 41 49 50 47 56 57 47 58 57 44 42 55 65
57 55 53 63 58 58 45 55 55 48 46 53 50 43 39 57 49 51 39 57 49 47 49 52 43 39 55 35 50 47 52 54 50 55 56 56 57 56 46 39 51
67 54 62 65 43 43 48 54 59 53 49 58 54 58 58 39 48 68 50 45 54 51 64 56 52 47 49 48 59 60 56 59 47 43 51 62 51 57 55 57 45
46 53 50 47 49 51 49 62 44 42 57 52 55 49 45 50 50 42 53 41 44 38 48 60 43 47 52 54 60 53 60 50 52 59 56 55 64 45 53 54 47
59 51 60 50 44 54 51 55 49 45 50 50 67 52 45 62 56 46 50 49 52 55 62 60 45 61 53 53 57 62 56 41 62 36 60 63 53 53 57 51 32
56 53 53 65 57 59 51 48 44 40 45 44 47 57 54 44 66 55 47 48 56 48 54 48 46 56 39 62 56 49 49 38 45 57 58 52 50 48 59 58 58
61 49 59 52 50 68 45 43 43 56 40 39 50 55 54 45 47 57 53 51 50 39 51 52 55 47 39 62 51 55 47 61 46 66 47 56 59 59 56 63 48
54 47 49 40 39 59 42 45 39 45 35 43 43 50 40 61 47 58 44 38 53 50 43 55 55 48 57 58 56 45 63 38 48 54 54 46 57 50 57 68 65
46 59 49 51 61 50 50 56 40 47 36 35 49 47 45 64 61 58 48 49 45 44 44 52 39 53 34 57 45 45 54 47 46 52 55 53 64 49 63 53 48
48 63 59 45 60 56 53 47 36 34 38 51 33 48 45 54 60 59 47 54 38 51 66 39 50 54 44 39 53 53 45 45 43 46 52 46 47 42 41 61 59
54 49 55 55 50 49 51 45 37 46 35 46 57 59 52 59 55 51 54 42 36 48 44 55 44 42 54 44 48 41 45 45 44 39 48 55 46 48 68 52 46
61 59 48 51 46 54 42 49 42 48 43 51 35 50 58 57 62 57 54 43 39 40 54 58 49 51 47 51 45 39 55 42 35 36 51 32 35 41 43 53 63
60 50 45 43 58 49 40 43 31 35 39 44 48 51 52 60 45 55 60 57 53 57 42 43 51 50 45 33 40 39 42 39 40 60 40 50 47 38 49 45 41
47 47 50 42 48 55 38 50 52 43 48 57 61 49 46 56 73 54 60 44 57 55 36 51 47 54 51 54 52 40 51 51 48 36 53 55 51 33 52 49 63
39 20 53 53 58 51 54 48 41 45 64 38 64 66 63 54 55 41 49 66 62 69 72 42 60 53 58 47 54 47 39 51 48 50 49 48 45 31 46 45 60
54 45 55 71 53 53 56 50 44 56 64 45 71 49 64 61 58 52 66 51 56 58 56 66 52 69 49 41 42 51 52 47 55 48 47 47 42 59 33 56 44
41 48 50 51 61 77 57 54 63 49 55 45 48 77 56 61 55 46 61 40 60 47 51 36 53 62 37 52 41 36 67 67 55 37 56 42 41 40 52 44 50
51 36 51 53 71 67 62 64 73 54 48 57 50 42 49 42 54 52 64 59 55 43 38 51 50 61 59 45 49 47 43 28 43 44 39 54 50 42 52 58 54
59 58 53 70 52 53 62 60 51 61 37 62 65 57 47 58 71 66 46 60 65 59 55 59 53 62 47 39 40 39 52 44 38 48 51 35 42 45 39 56 52
51 43 50 67 53 59 51 47 52 40 43 59 49 60 43 58 47 57 66 59 55 49 64 55 50 53 52 43 46 35 52 38 48 45 46 44 44 45 52 40 47
58 59 52 54 50 65 37 52 63 55 55 67 54 40 61 49 54 63 56 54 54 61 60 38 54 52 64 34 47 42 36 48 57 34 40 44 43 49 50 39 46
47 56 59 60 46 69 63 63 53 53 47 62 41 51 54 63 44 56 58 58 49 59 41 54 49 50 49 47 48 32 39 44 41 54 59 49 47 66 36 53 66
53 46 58 57 66 54 51 52 47 56 54 47 53 47 47 66 57 69 40 64 43 49 44 60 40 52 52 46 46 41 46 45 46 43 46 51 49 40 48 43 52
72 57 61 50 54 53 57 61 51 40 62 45 46 81 56 64 57 61 53 81 64 52 47 47 45 52 59 54 53 48 30 43 39 61 59 43 57 57 57 51 46
50 47 45 53 58 58 60 43 49 35 44 56 46 41 47 51 61 55 59 49 51 63 60 52 48 53 55 40 44 52 40 38 55 50 57 54 30 35 45 51 34
31 56 57 61 53 40 56 43 47 58 60 41 53 46 47 53 71 61 38 61 47 45 44 60 61 58 48 53 54 58 60 47 55 46 64 53 51 44 47 40 56
59 42 56 47 59 53 50 52 56 59 50 51 51 55 45 48 45 50 52 64 62 68 37 53 48 47 65 58 55 50 51 53 43 53 43 36 26 43 49 39 59
36 60 38 51 54 49 50 59 60 53 49 38 57 52 39 46 49 52 52 51 52 38 46 66 70 61 58 59 52 61 68 38 44 59 45 51 53 37 42 48 53
34 55 51 40 54 51 47 53 57 44 55 58 48 48 36 58 49 50 42 44 52 46 35 45 55 46 47 70 39 48 47 53 57 46 49 37 45 43 66 57 59
44 45 47 73 60 63 54 41 68 64 39 55 41 46 38 52 43 62 43 46 41 46 45 54 68 65 48 55 37 40 42 55 53 43 57 49 53 64 54 35 41
57 57 55 46 53 52 49 43 55 50 43 36 60 46 40 60 53 47 48 64 51 44 48 56 43 61 66 43 64 49 39 48 59 43 46 48 51 38 42 46 46
53 45 54 37 52 52 47 44 55 51 60 59 56 35 61 55 46 53 55 52 55 46 43 59 62 50 49 61 49 53 49 55 53 49 50 51 49 50 55 61 49
